date,close,high,low,open,volume
,MA,MA,MA,MA,MA
2025-02-28,576.3099975585938,576.4299926757812,564.0,567.2999877929688,3205400
2025-03-03,574.9199829101562,582.22998046875,570.0,577.3300170898438,3092600
2025-03-04,555.0700073242188,573.2000122070312,552.010009765625,570.4600219726562,3318100
2025-03-05,558.2999877929688,560.989990234375,551.3200073242188,552.5800170898438,2795400
2025-03-06,549.8200073242188,555.6799926757812,544.6900024414062,548.5,3133200
2025-03-07,546.77001953125,550.3800048828125,536.280029296875,547.0700073242188,3161300
2025-03-10,537.1199951171875,548.5599975585938,532.02001953125,538.1500244140625,3893400
2025-03-11,525.7999877929688,538.0499877929688,522.25,537.2000122070312,4582600
2025-03-12,524.6400146484375,532.7100219726562,519.260009765625,530.510009765625,2810800
2025-03-13,519.8300170898438,528.530029296875,517.7100219726562,524.5,2375800
2025-03-14,527.6400146484375,528.4099731445312,520.9500122070312,522.5999755859375,2369500
2025-03-17,531.989990234375,533.47998046875,521.47998046875,523.25,2544800
2025-03-18,530.1900024414062,532.5900268554688,525.510009765625,532.3400268554688,2363300
2025-03-19,536.0900268554688,537.6199951171875,529.5800170898438,531.5700073242188,2804300
2025-03-20,536.3800048828125,540.489990234375,532.5499877929688,533.5999755859375,2598600
2025-03-21,535.6900024414062,538.0499877929688,530.760009765625,535.4400024414062,5973400
2025-03-24,543.6699829101562,545.4600219726562,538.239990234375,539.3499755859375,2758700
2025-03-25,545.1599731445312,547.1799926757812,542.0,545.9500122070312,2138200
2025-03-26,549.0700073242188,551.030029296875,545.1199951171875,547.1400146484375,2681600
2025-03-27,557.5700073242188,561.8300170898438,547.7999877929688,549.0700073242188,2901200
2025-03-28,540.6099853515625,558.5800170898438,540.0900268554688,554.2249755859375,2022118
